location,size,total_sqft,bath,price
Bellandur,2 BHK,1000,2,50
Jalahalli West,1 BHK,469,1,25
Marathahalli,4 BHK,3800,4,250
Kambipura,2 BHK,883,2,29
GM Palaya,3 BHK,1820,2,86
Singasandra,3 BHK,1440,2,65
near Ramanashree California resort,6 BHK,3600,4,160
Malleshwaram,4 BHK,2500,5,325
Mahadevpura,2 BHK,1225,2,48
"6th block banashankari 3rd stage, 100 feet ORR",3 Bedroom,4000,3,660
Chikkalasandra,2 BHK,875,2,52.8
Jalahalli East,1 BHK,750,1,40
6th Phase JP Nagar,2 BHK,1180,2,80
Haralur Road,2 BHK,1194,2,47
Hennur Road,3 BHK,1500,2,62
Poornapragna Housing Society Layout,2 BHK,1160,2,52.2
Arekere,9 Bedroom,4125Perch,9,265
Hosakerehalli,3 BHK,2378,3,262
Sarjapur,2 BHK,1128,2,60
Hebbal,3 BHK,1500,3,150
Huskur,3 BHK,1220,2,35.23
Sarjapur  Road,2 BHK,1210,2,58
Kanakpura Road,3 BHK,1100,2,58
Bommasandra,3 BHK,1200,3,46
Haralur Road,4 BHK,3385,5,260
Nagondanahalli,3 BHK,1641,3,66
Horamavu Agara,2 BHK,1200,2,45
Raja Rajeshwari Nagar,2 BHK,1260,2,67.39
Mahadevpura,3 BHK,1720,3,78
Yelahanka,2 BHK,1120 - 1145,2,48.13
Yelahanka,2 BHK,1210,2,45.98
Indira Nagar,4 Bedroom,2200,4,200
Bisuvanahalli,3 BHK,1075,2,45
Thanisandra,3 BHK,1702,3,130
Shanthala Nagar,2 BHK,1630,2,200
Raja Rajeshwari Nagar,2 BHK,1141,2,38.55
Shantiniketan Layout,3 BHK,2072,3,108
JP Nagar,5 BHK,4400 - 6640,,375
Herohalli,3 Bedroom,1200,2,70
Teachers Colony,3 BHK,1350,3,77
Bettahalsoor,4 Bedroom,3090 - 5002,4,445
Srinivasa Nagar,3 BHK,1180,2,78.34
Yelahanka,3 BHK,35000,3,130
Langford Town,2 BHK,1355,2,115
Sulthangunta,1 Bedroom,600,1,50
Hormavu,7 Bedroom,1200,7,150
Bannerghatta Road,3 BHK,1640,2,120
Byrathi Village,5 Bedroom,1200,5,100
Kodichikkanahalli,3 BHK,1190,2,57
OMBR Layout,4 Bedroom,2400,4,375
Marathahalli,2 BHK,1019,2,49.85
Ambedkar Colony,3 BHK,1875,3,165
Akshaya Nagar,3 BHK,1250,3,40
Brookefield,3 Bedroom,1200,3,140
Whitefield,2 BHK,1140,2,56
Lingadheeranahalli,3 BHK,1683,3,109
Kaggadasapura,3 BHK,1515,3,83.3
Hoodi,4 BHK,2118,4,111
Bannerghatta Road,4 Bedroom,1380,3,58
Varthur Road,2 BHK,1083,2,61.75
Anjappa Layout,2 Bedroom,600,2,55
Avalahalli,3 BHK,2300,3,120
Prakruthi Nagar,2 BHK,1240,2,60
Surabhi Layout,3 BHK,1750,3,120
Sadaramangala,2 BHK,1230,2,43.48
Anjanapura,3 Bedroom,1500,3,139
Abbigere,2 BHK,985,2,40.39
Tindlu,3 Bedroom,1500,2,87
Electronic City,2 BHK,1125,2,32.49
Maruthi Sevanagar,2 BHK,950,2,44
JP Nagar,5 BHK,4400 - 6800,,548.5
Kothanur,3 BHK,1580,3,76
B Narayanapura,3 Bedroom,1092,2,98.5
Electronic City Phase II,2 BHK,1090,2,28.34
Hennur Road,3 Bedroom,2264,3,159
Dommasandra,3 BHK,1033,2,25.53
Kammasandra,2 BHK,810,2,24.5
Green Garden Layout,2 BHK,1045,2,45
Hebbal,2 BHK,1337,2,82
Chandapura,2 BHK,1200,2,32
Koramangala,3 BHK,1580,3,160
Begur Road,3 BHK,1500,2,54
Whitefield,3 BHK,1640,4,91
Silver Springs Layout,3 BHK,1570,3,62
Gubbalala,3 BHK,1470,2,82
Kengeri,2 BHK,1160,2,40.61
7th Phase JP Nagar,2 BHK,1050,2,71
Dairy Circle,3 BHK,1855,3,225
Bannerghatta Road,3 BHK,1460,2,90
Hulimavu,3 BHK,1823,3,100
Electronic City,2 BHK,1094,2,42
Budigere,2 BHK,1153,2,57
Hoysalanagar,3 BHK,1325,3,57
Parappana Agrahara,4 Bedroom,1200,3,85
Jakkur,3 BHK,1590,2,125
Jeevan bima nagar,5 Bedroom,1210,4,160
Raja Rajeshwari Nagar,4 Bedroom,1200,4,220
Narayana Nagar 1st Block,2 BHK,1202,2,48
Haralur Road,2 BHK,1202,2,53
KSRTC Layout,2 BHK,1200,2,62.5
Panathur,3 BHK,1688,3,118
Kaval Byrasandra,2 BHK,1020,2,52
Sarjapur,2 BHK,1185,2,47
Ramagondanahalli,2 BHK,1235,2,52.04
Hosakerehalli,4 BHK,3205,5,500
Banashankari,2 BHK,1077,2,37.64
Kengeri Satellite Town,3 BHK,1415,2,66
EPIP Zone,3 BHK,2330,3,162
Whitefield,2 BHK,805,2,35
P&T Colony,1 BHK,425,1,20.03
Whitefield,2 BHK,1155,2,59.95
Cunningham Road,4 BHK,5270,4,1250
Anekal,2 BHK,656,2,22
New Gurappana Palya,2 BHK,1100,2,48
Mahadevpura,2 BHK,1150,2,52
Chelekare,1 Bedroom,600,1,60
Ambedkar Colony,2 BHK,1468,2,140
Palanahalli,4 Bedroom,4300,5,550
Whitefield,3 BHK,2280,4,126
Hegde Nagar,2 BHK,1341,2,97
Jakkur,2 BHK,1279,2,77
Electronic City Phase II,4 BHK,2225,4,98.88
Thanisandra,2 BHK,1185,2,43.51
Vadarpalya,3 BHK,1750,3,85
Kudlu,2 BHK,1152,2,53.5
Shivanagar,5 Bedroom,1000,4,160
Hulimavu,2 BHK,1300,2,36
Varthur Road,4 Bedroom,2760,4,155
5th Phase JP Nagar,2 BHK,1070,2,39
Uttarahalli,2 BHK,1101,2,45
V.V Puram,2 BHK,775,2,55
Yeshwanthpur,1 BHK,667,1,36.85
Electronic City,2 BHK,1070,2,55
Old Airport Road,3 BHK,1875,2,110
Kundalahalli,2 BHK,735,2,57.99
Sarjapur,5 Bedroom,4360,4,90
Koramangala,3 BHK,1750,3,130
Marathahalli,2 BHK,1215,2,67
Sector 3 HSR Layout,9 Bedroom,600,9,190
Vishwapriya Layout,2 BHK,820,2,30
Banashankari Stage VI,2 BHK,1160 - 1195,2,59.935
Battarahalli,3 BHK,1779,3,89.61
HMT Layout,2 BHK,1105,2,58
Basavanagara,1 BHK,1000Sq. Meter,2,93
Whitefield,3 BHK,1650,3,60
Jalahalli,2 BHK,1694,2,150
Hosakerehalli,3 BHK,2376,3,203
Cox Town,3 BHK,1975,3,150
Kammasandra,2 BHK,674,2,33
Kaggadasapura,2 BHK,1185,2,41
 Thanisandra,1 RK,445,1,28
Mylasandra,6 Bedroom,900,7,76
HSR Layout,3 BHK,1475,3,75
Gottigere,3 BHK,1618,3,82.5
Koramangala,2 BHK,1120,2,65
Marathahalli,4 BHK,2181,3,152
Vidyaranyapura,4 Bedroom,1200,4,90
Nagondanahalli,6 Bedroom,600,4,65
Bannerghatta Road,3 BHK,1556,2,59.13
Bannerghatta Road,2 BHK,1179,2,66.02
Thanisandra,2 BHK,1296,2,83
Kaggadasapura,2 BHK,1275,2,52
Kalasipalya,7 Bedroom,1875,2,300
Kathriguppe,3 BHK,1400,2,77
Gottigere,2 BHK,1222,2,63
Electronic City,2 BHK,940,2,41
Thanisandra,2 BHK,1185,2,42.6
Tumkur Road,3 BHK,1779,3,112
Begur Road,3 BHK,1615,3,59.76
JP Nagar,4 BHK,4000 - 5249,,453
Haralur Road,2 BHK,1056,2,61
7th Phase JP Nagar,2 BHK,1100,2,46
Arekere,2 BHK,920,2,40
ITI Layout,3 BHK,1602,2,75
Padmanabhanagar,2 BHK,1176,2,62
HBR Layout,4 Bedroom,675,3,59
Richmond Town,3 BHK,1352,3,135
Kasavanhalli,3 BHK,1717,3,99
4 Bedroom Farm House in Bagalur,4 Bedroom,10961,4,80
Bhoganhalli,4 BHK,2119,4,111
Vittasandra,2 BHK,1246,2,67.3
Anandapura,2 BHK,1141,2,42.79
Hennur Road,2 BHK,1157,2,84
Chandapura,2 BHK,1025,2,27.68
Yelahanka New Town,1 BHK,650,1,33
Hebbal,2 BHK,1349,2,98
Narayanapura,3 BHK,1566,3,83.3
Sahakara Nagar,4 BHK,2830,3,195
Electronic City,3 BHK,1320,2,38.13
manyata park,3 BHK,1780,3,84.83
Varthur,2 BHK,1091,2,34.9
Rachenahalli,4 BHK,3670,4,300
7th Phase JP Nagar,2 BHK,918,2,50.49
Yeshwanthpur,4 BHK,1950,4,130
Panathur,3 BHK,1695,3,90
Yelahanka,3 BHK,1705,3,95
Kalyan nagar,3 BHK,1375,3,75
Kanakpura Road,1 BHK,525,1,30
Whitefield,2 BHK,1447,2,83
Thanisandra,2 BHK,1114,2,39
7th Phase JP Nagar,3 BHK,1450,2,100
Belathur,2 BHK,460,1,15
Vasanthapura,2 BHK,1022,2,40
Hebbal,2 BHK,1000,2,45
Electronic City,2 BHK,1128,2,68.75
Kanakpura Road,2 BHK,1180,2,57
TC Palaya,6 Bedroom,1000,6,69
Nagarbhavi,2 Bedroom,1200,2,150
Sadashiva Nagar,3 BHK,3761,3,660
Kanakpura Road,2 BHK,1339,2,75
Yelachenahalli,3 BHK,1400,2,55
7th Phase JP Nagar,2 BHK,1040,2,39.52
Kadugodi,2 BHK,1198,2,58
Shirdi Sai Layout,4 Bedroom,1200,3,95
Sarjapur  Road,3 BHK,1691,3,113
Bisuvanahalli,3 BHK,1075,3,36
1st Block Jayanagar,3 BHK,1630,3,194
8th Phase JP Nagar,3 BHK,1240,3,43.5
Bannerghatta Road,2 BHK,1115 - 1130,2,58.935
Mallasandra,3 BHK,1665,3,86.58
Marathahalli,3 BHK,2489,3,94
Brookefield,2 BHK,1142,2,70
Kodbisanhalli,3 BHK,1976,3,184
Sathya Sai Layout,4 Bedroom,5500,4,600
Kothannur,3 BHK,1853,3,82
Vijayanagar,8 Bedroom,600,4,72
Kasturi Nagar,2 BHK,1567,2,92
Talaghattapura,2 BHK,1090,2,27.24
Raja Rajeshwari Nagar,6 Bedroom,1200,4,125
Indiranagar HAL 2nd Stage,4 Bedroom,2400,4,640
Electronics City Phase 1,2 BHK,1175,2,51.47
Subramanyapura,2 BHK,1200,2,52
Kodichikkanahalli,2 BHK,995,2,41
Magadi Road,2 BHK,884,2,41.1
Vishwanatha Nagenahalli,5 Bedroom,900,3,80
Yeshwanthpur,2 BHK,1170,2,57
KR Puram,2 BHK,1225,2,46.55
Electronic City,2 BHK,1342,2,73.3
Uttarahalli,2 BHK,1345,2,67
Kodigehaali,3 BHK,1320,3,65
Singapura Village,2 BHK,1100Sq. Yards,2,45
Raja Rajeshwari Nagar,2 BHK,1140,2,49.39
Battarahalli,2 BHK,1300,2,50
Hosa Road,3 BHK,1652,3,85
Thigalarapalya,3 BHK,2072,4,142
Arekere,3 BHK,1740,2,95
Electronic City,3 BHK,1360,2,71
Hosur Road,3 BHK,1145,2,60
Uttarahalli,3 BHK,1540,2,40
Sarjapur  Road,2 BHK,1278,2,95
Electronic City Phase II,1 BHK,630,1,40
Kanakpura Road,3 BHK,1100,3,58
Bendiganahalli,3 Bedroom,1200,3,95
Hosakerehalli Layout,7 Bedroom,2500,6,115
Chandapura,1 BHK,520 - 645,1,15.135
Chandapura,2 BHK,1015,2,25.88
Hosur Road,5 Bedroom,3300,5,240
Basaveshwara Nagar,5 Bedroom,4500,5,415
Gunjur,3 BHK,1356,2,66
Hennagara,2 BHK,823,2,28
TC Palaya,3 Bedroom,1200,2,66
Ramamurthy Nagar,2 BHK,1050,2,37
Ferrar Nagar,2 BHK,1180,2,69
Whitefield,2 BHK,1116,2,51.91
7th Phase JP Nagar,2 BHK,1070,2,42.79
Varthur,2 BHK,1385,2,80
Varthur,1 Bedroom,1000,1,70
Whitefield,3 BHK,1897,3,130
Magadi Road,2 BHK,1005,2,55.78
Green Glen Layout,3 BHK,1575,3,125
Subramanyapura,2 BHK,975,2,65
Hennur Road,3 BHK,1904,3,120
Kengeri Satellite Town,1 BHK,930,1,30
Kanakpura Road,1 BHK,525,1,26
BAGUR,1 BHK,686,1,17
Electronic City Phase II,2 Bedroom,2400,3,150
8th block Koramangala,2 Bedroom,1410,1,233
Sarjapur  Road,3 Bedroom,2238,3,140
Harlur,2 BHK,1174,2,69
Thubarahalli,4 Bedroom,3800,4,239
Whitefield,3 BHK,2225,2,125
M.G Road,2 BHK,1250,2,200
Jigani,2 BHK,918,2,52
Mahadevpura,2 BHK,1250,2,52
Sarjapur  Road,3 BHK,1800,3,110
Marathahalli,2 BHK,1170,2,53
Byatarayanapura,1 BHK,1300,1,200
Bannerghatta Road,2 BHK,793,2,45
Jakkur,3 BHK,1710,3,107
Kambipura,3 BHK,1082,2,57.5
Naganathapura,2 BHK,1001,2,33.03
Srinivasa Nagar,4 Bedroom,1500,4,180
Yelahanka,3 BHK,1590,2,54
Basavanagara,3 BHK,2400,2,80
Horamavu Banaswadi,3 BHK,1554,3,55
Thanisandra,2 BHK,1000 - 1285,2,43.415
Bellandur,5 BHK,4239,5,423
Konanakunte,2 Bedroom,884,1,58
Hosa Road,2 BHK,1045,2,98.89
Marathahalli,2 BHK,1019,2,49.86
Ambedkar Nagar,3 BHK,1935,4,130
Uttarahalli,3 BHK,1135,2,39.73
Lakshminarayana Pura,3 BHK,1680,3,150
Hebbal,4 BHK,2470,5,247
1st Phase JP Nagar,4 BHK,2825,4,250
Hosakerehalli,3 BHK,2480,3,330
5th Phase JP Nagar,9 Bedroom,1260,11,290
Ramamurthy Nagar,5 Bedroom,1800,4,187
Kasavanhalli,3 BHK,1799,3,90
Whitefield,4 Bedroom,3606 - 5091,,304
Attibele,1 BHK,400,1,11
Kundalahalli,2 BHK,1047,2,82
Kaverappa Layout,2 BHK,1282,2,87
NGR Layout,2 BHK,1020,2,45.9
Kammanahalli,4 Bedroom,1080,3,155
Whitefield,2 BHK,1495,2,79.5
Kasavanhalli,4 Bedroom,3260,4,240
Divya Unnathi Layout,3 BHK,1611,2,64.44
Koramangala,4 BHK,3500,5,425
Vasantha Vallabha Nagar,3 Bedroom,1500,2,95
Sahakara Nagar,3 BHK,1500,2,95
Yelahanka,4 Bedroom,3206,5,270
Uttarahalli,3 BHK,1540,3,50
Hosa Road,3 BHK,1639,3,80
Marathahalli,4 Bedroom,700,4,72
Raja Rajeshwari Nagar,2 BHK,1303,2,55.79
Koramangala,2 BHK,1005,1,110
Kammasandra,1 BHK,650 - 665,1,18.41
Chandapura,3 BHK,1305,3,33.28
Kothannur,3 Bedroom,600,4,95
sapthagiri Layout,2 BHK,1300,1,115
Brookefield,3 BHK,1440,2,68
Seegehalli,2 BHK,901,2,35.14
Rajaji Nagar,3 BHK,1725,3,200
Sarjapur,3 BHK,900,2,42
BEML Layout,2 BHK,1060,2,55
NGR Layout,2 BHK,1020,2,48.45
Varthur,3 BHK,1535,3,65.99
Alur,1 BHK,530,1,20
Haralur Road,3 BHK,1464,3,56
Devarabisanahalli,2 BHK,1350,2,80
Sarjapur  Road,2 BHK,1115,2,50
Uttarahalli,2 BHK,1175,2,47
Whitefield,2 BHK,1113,2,62
Uttarahalli,6 Bedroom,1200,4,225
Ramamurthy Nagar,5 Bedroom,1640,4,240
Giri Nagar,2 BHK,650,2,42
Marathahalli,2 BHK,1325,2,71.55
Electronics City Phase 1,2 BHK,950,2,31
Jakkur,3 BHK,1396,2,86.51
Rachenahalli,2 BHK,1050,2,52.07
Thanisandra,3 BHK,1825,3,100
7th Phase JP Nagar,2 BHK,1190,2,49.98
Marathahalli,2 BHK,1220,2,56.5
NRI Layout,3 BHK,1565,2,75
Hennur Road,3 BHK,1891,3,109
Sidedahalli,2 BHK,900,2,27
Hosa Road,2 BHK,1161,2,55.15
Sarjapur,1 BHK,633 - 666,1,17.535
Dwarka Nagar,8 Bedroom,2400,6,125
Rajaji Nagar,4 Bedroom,315,4,90
Yeshwanthpur,1 BHK,665,1,36.85
Mysore Road,2 BHK,1175,2,73.5
Hoodi,2 BHK,1425,2,80
Chikkabanavar,1 Bedroom,1200,1,20
ITPL,3 Bedroom,1200,3,56.12
Somasundara Palya,2 BHK,1255,2,67
Hegde Nagar,3 BHK,2112.95,4,145
Raja Rajeshwari Nagar,1 BHK,600,1,22
Haralur Road,3 BHK,1810,3,100
Indira Nagar,2 BHK,1200,2,93
Harlur,2 BHK,1033,2,49
ITPL,3 BHK,1548,3,89.5
Horamavu Banaswadi,3 BHK,1611,3,66
Electronic City Phase II,3 BHK,1400,2,40.43
Vidyaranyapura,3 BHK,1485,2,67
Margondanahalli,2 Bedroom,2400,2,82
Pattandur Agrahara,2 BHK,1025,2,44.5
Thurahalli,4 Bedroom,600,3,65
Hallehalli,2 BHK,1225,2,53
5th Phase JP Nagar,2 BHK,1256,2,62.8
Whitefield,4 BHK,2268,3,163
Kanakpura Road,3 BHK,1100,3,53
Vadarpalya,2 BHK,1141,2,62
Attibele,1 BHK,400,1,12
Chandapura,2 Bedroom,1400,2,60
Kattigenahalli,7 BHK,4100,7,140
Marathi Layout,1 Bedroom,5.31Acres,1,110
Weavers Colony,1 BHK,15,1,30
Raghavendra Nagar,2 BHK,1175,2,48.27
Sahakara Nagar,2 BHK,1100,2,56
Kanakpura Road,3 BHK,1843,3,95.84
1st Phase JP Nagar,8 Bedroom,1200,7,240
Horamavu Banaswadi,2 BHK,1460,2,80.5
Rachenahalli,3 BHK,1530,2,74.5
HSR Layout,2 BHK,1467,2,55
KR Layout,1 BHK,950,1,40
Vittasandra,2 BHK,1246,2,64.5
Kanakapura,1 BHK,711,1,38
Haralur Road,2 BHK,1194,2,46
Babusapalaya,3 BHK,1358,2,43.4
Nagasandra,6 Bedroom,1500,5,130
Hoodi,2 BHK,1420,2,75
Kathriguppe,3 BHK,1250,2,68.75
Akshaya Nagar,2 BHK,1280,2,58
Nagappa Reddy Layout,2 BHK,1209,2,50
Kempapura,5 Bedroom,4200,5,225
BTM 1st Stage,4 Bedroom,1215,4,205
Panathur,3 BHK,1315,2,54.8
Kariyammana Agrahara,3 BHK,1800,3,90
Hessarghatta,5 Bedroom,1600,4,125
TC Palaya,3 BHK,1600,2,65
Binnamangala,6 Bedroom,3968,5,900
Suraksha Nagar,3 BHK,1563,3,52
Whitefield,3 BHK,1560,2,72
Brookefield,3 BHK,2169,4,115
Lakshmi Layout,9 Bedroom,900,10,170
Rachenahalli,2 BHK,1050,2,55.5
Iblur Village,3 BHK,3235,3,235
TC Palaya,3 Bedroom,1200,3,66
HSR Layout,2 BHK,1140,2,46
7th Phase JP Nagar,3 Bedroom,1500,3,170
Horamavu Agara,3 BHK,1560,3,75
JP Nagar,2 BHK,1100,2,70
Kasavanhalli,3 BHK,1260,2,40.32
Hebbal,2 BHK,1036,2,50
Akshaya Nagar,3 BHK,1662,3,85.1
Yelachenahalli,3 BHK,1464,2,105
Yelahanka,2 BHK,1234,2,80
Sarjapur  Road,3 BHK,1403,3,55
Kadugondanahalli,4 Bedroom,915,4,54.9
2nd Stage Nagarbhavi,6 Bedroom,3000,8,451
Seegehalli,3 BHK,1150,2,42.9
Hebbal,4 BHK,3900,4,410
Yeshwanthpur,5 Bedroom,850,4,90
Kanakapura,2 BHK,929,2,46
2nd Stage Nagarbhavi,6 Bedroom,2400,8,450
TC Palaya,3 Bedroom,1350,2,75
Vasanthapura,2 BHK,1135,2,39.73
Basava Nagar,2 BHK,1405,2,70
Whitefield,2 Bedroom,1200,2,45.84
Haralur Road,4 BHK,2805,4,154
Yeshwanthpur,2 BHK,1161,2,64.08
Kanakpura Road,2 BHK,1290,2,74
Yeshwanthpur,3 BHK,2557,3,141
2nd Block Hrbr Layout,3 BHK,1480,3,90
BTM 1st Stage,9 Bedroom,3300,14,500
Old Madras Road,3 BHK,1350,3,54.54
Kadugodi,3 BHK,1580,2,65
Banashankari,3 BHK,1470,2,88.64
Ananth Nagar,1 BHK,500,1,14
Sarjapur  Road,2 BHK,1346,2,61.92
Canara Bank Layout,3 BHK,1600,3,90
Naganathapura,2 BHK,720,2,120
Narasapura,2 Bedroom,30Acres,2,29.5
Manjunath Nagar,4 Bedroom,1200,4,135
Basapura,2 BHK,1200,2,35
Channasandra,3 BHK,1340,2,48.33
Devanahalli,4 Bedroom,6136,4,560
Jigani,2 BHK,918,2,48
Singena Agrahara,3 Bedroom,1500,3,115
Yelahanka,2 BHK,1315,2,85
Sector 1 HSR Layout,4 Bedroom,2400,5,775
Uttarahalli,3 BHK,1390,2,62.55
Uttarahalli,3 BHK,1330,2,56
Jalahalli,5 BHK,3100,4,265
Mango Garden Layout,3 BHK,1824,3,125
7th Phase JP Nagar,3 BHK,1420,2,96
Kacharakanahalli,1 Bedroom,750,1,56.25
Jalahalli East,3 BHK,1260,2,60
Hennur Road,3 BHK,1561,3,95
5th Phase JP Nagar,9 Bedroom,812,6,165
"Bidere Agarahara, Behind Safal market",2 BHK,1060,2,42
Hoodi,8 Bedroom,1120,8,145
Haralur Road,2 BHK,1225,2,67.38
Thanisandra,3 BHK,2144,3,135
Kengeri,7 Bedroom,1200,6,140
Electronic City,2 BHK,880,2,29
Hoodi,3 BHK,1639,3,110
Thanisandra,3 BHK,1240,2,62
Kanakpura Road,2 BHK,1500,2,69
Haralur Road,2 BHK,1243,2,46
Marathahalli,3 BHK,1575,3,78
Haralur Road,2 BHK,1027,2,44
Kambipura,3 BHK,1082,2,56
Konanakunte,3 BHK,1637,3,73
Kanakpura Road,3 BHK,1665,3,86.58
Electronic City,2 BHK,1265,2,56.93
Electronic City,3 BHK,1691,2,102
Thanisandra,2 BHK,1100,2,38
Grihalakshmi Layout,5 Bedroom,24,2,150
Gopalkrishna Nagar,3 Bedroom,1500,3,62
Hosakerehalli,4 BHK,3205,5,380
Kammanahalli,5 Bedroom,1666,4,150
Choodasandra,2 BHK,1115,2,50
Mysore Road,2 BHK,1070,2,45
Indira Nagar,2 BHK,1128,2,105
Budigere,2 BHK,1162,2,57
Sai Gardens,2 BHK,1339,2,55
Mahadevpura,2 BHK,1192,2,75
Haralur Road,3 BHK,1920,3,115
Hennur,2 BHK,1255,2,52.32
Rajaji Nagar,2 BHK,1357,2,115
Dodda Kempaiah Layout,3 BHK,1600,3,75
Hanumanth Nagar,2 BHK,1225,2,55.11
Whitefield,4 Bedroom,2400,4,200
Kasturi Nagar,3 BHK,1570,3,80
Thanisandra,2 BHK,1093,2,70
Basaveshwara Nagar,3 BHK,1865,3,145
R.T. Nagar,6 Bedroom,1200,7,165
Kaikondrahalli,2 BHK,1039,2,80
Vittasandra,2 BHK,1246,2,64.5
Whitefield,3 BHK,1985,3,75
Hosakerehalli,3 BHK,1590,3,49
Hunasamaranahalli,4 Bedroom,4000,4,675
Electronic City Phase II,2 BHK,775,2,38
RWF West Colony,2 BHK,1000,2,50
Hebbal Kempapura,3 BHK,1800,3,175
Bommasandra,2 BHK,1035,2,41
Dasarahalli,3 BHK,1520,2,75
Whitefield,2 BHK,1360,2,95
Bileshivale,4 Bedroom,6000,5,400
Kodigehaali,2 BHK,1117,2,56
KR Puram,4 Bedroom,1200,4,120
EPIP Zone,2 BHK,1330,2,92.5
Marathahalli,3 BHK,1937,3,160
Electronic City,2 BHK,1128,2,65.49
Neeladri Nagar,2 BHK,1053,2,45
Panathur,2 BHK,1198,2,77
Marathahalli,2 BHK,1152,2,56
1st Block Jayanagar,6 BHK,1200,6,125
Frazer Town,2 BHK,1625,2,75
Kundalahalli,3 BHK,1397,3,105
Yeshwanthpur,3 BHK,1523,3,170
Kambipura,2 BHK,883,2,45
Kaggalipura,1 BHK,700,1,38
Yelahanka,2 BHK,1170,2,62.5
Kanakpura Road,3 BHK,1200,2,42
Manayata Tech Park,3 BHK,2400,3,170
Kullappa Colony,2 BHK,1480,2,65
Akshaya Nagar,3 BHK,1897,3,120
Rachenahalli,2 BHK,996,2,67
Haralur Road,3 BHK,1875,3,110
Williams Town,3 BHK,1500,2,98
Jaya Nagar East,3 BHK,3095,3,350
Ambalipura,3 BHK,1390,2,175
Yelahanka,3 BHK,1445 - 1455,3,65.255
Yelahanka,1 BHK,697,1,45
Sarjapur  Road,1 BHK,710,1,27
Iggalur,2 BHK,910,2,30.5
Sompura,3 BHK,1025,2,48
Magadi Road,2 BHK,884 - 1116,2,46.5
Harlur,4 Bedroom,1200,4,244
Horamavu Agara,3 BHK,1453,2,46.48
Sarjapur  Road,4 BHK,3335,5,300
Thanisandra,2 BHK,850 - 1093,2,36.435
Bellandur,2 BHK,1281,2,74
Cooke Town,1 BHK,565,1,35
Varthur,2 BHK,1024,2,42
Electronic City,3 BHK,1620,3,62
Whitefield,2 BHK,1254,2,40
Banashankari,3 BHK,1300,2,75
Doddakallasandra,2 BHK,1233,2,43
Chokkanahalli,1 Bedroom,1200,1,28
Hosur Road,3 BHK,1510,2,105
Kaggalipura,2 BHK,950,2,65
Battarahalli,3 BHK,1945,3,97.42
Uttarahalli,2 BHK,1008,2,45
Thanisandra,3 BHK,1265,2,79
Hebbal,3 BHK,1255,2,77.68
Kanakpura Road,4 BHK,2689,6,220
Yelenahalli,2 BHK,1200,2,46.17
Sarjapur  Road,3 BHK,1403,3,51.63
Kudlu Gate,3 BHK,1535,3,85
Chikkaballapur,3 Bedroom,1500,3,100
Chamrajpet,3 BHK,1475,2,120
Uttarahalli,3 BHK,1390,2,60.47
Raja Rajeshwari Nagar,3 BHK,1278,2,53.76
VGP Layout,2 BHK,1133,2,55
Classic Paradise Layout,5 Bedroom,1560,5,145
Byappanahalli,5 Bedroom,2900,5,90
Kogilu,2 BHK,1170,2,51.99
Sahakara Nagar,3 Bedroom,1200,3,200
Whitefield,3 BHK,1697,3,94.79
Thanisandra,3 BHK,1651,3,97.38
Vasanth nagar,3 BHK,1560,3,188
Hennur Road,3 BHK,1192,2,60
OMBR Layout,2 BHK,1078,2,65
Kumaraswami Layout,7 Bedroom,800,7,105
Kasavanhalli,2 BHK,1349,2,78
Ulsoor,9 Bedroom,2300,8,210
7th Phase JP Nagar,3 BHK,1680,3,120
Rayasandra,3 BHK,1314,2,63
Garudachar Palya,2 BHK,1060,2,48.7
Kalyan nagar,2 BHK,820,2,39
Whitefield,4 Bedroom,5000,4,400
BEML Layout,3 BHK,2000,3,85
Kalkere,2 BHK,856,2,40
Rajaji Nagar,3 BHK,1621,4,130
ITPL,3 Bedroom,1200,3,68.4
Bannerghatta Road,3 BHK,1484,3,52.5
T.C. Palya,4 Bedroom,600,5,60
Siddapura,4 Bedroom,14000,3,800
Yelahanka New Town,1 BHK,500,1,20
Makali,1 BHK,485,1,15
7th Phase JP Nagar,2 BHK,1050,2,42
Uttarahalli,3 BHK,1617,3,66.68
Electronic City,2 BHK,550,1,16
RWF West Colony,3 BHK,1384,3,62.28
Devanahalli,2 BHK,1408,2,85
Uttarahalli,2 BHK,1150,2,49
Akshaya Nagar,3 BHK,1410,2,75
Kaggadasapura,4 BHK,2150,4,100
Koramangala,3 BHK,2292,4,275
Malleshwaram,3 BHK,2006,3,297
Maragondanahalli,3 BHK,1508,3,70.25
Ramamurthy Nagar,2 BHK,1040,2,50
TC Palaya,2 Bedroom,1240,2,60
Kudlu Gate,3 BHK,1535,3,78
Lakshminarayana Pura,2 BHK,1180,2,75
Abbigere,6 Bedroom,2200,6,68
Bannerghatta Road,2 BHK,1400,2,78
Raja Rajeshwari Nagar,1 BHK,500,1,25
Whitefield,4 Bedroom,4800,4,525
Sarjapur  Road,3 BHK,1984,4,146
Whitefield,4 Bedroom,3000,5,250
Garudachar Palya,3 BHK,1960,3,160
Sarjapur  Road,2 BHK,1035,2,45
Vibuthipura,4 Bedroom,2150,4,80
Whitefield,3 BHK,1700,3,115
Hosakerehalli,4 BHK,3024,5,248
Tumkur Road,3 BHK,1586,3,100
Hennur,3 Bedroom,2264,,155
